1 2 3 4 5 6 3K 4K FH LS C UP51,13566,2,[35]
1 2 3 4 5 6 3K 4K FH LS C UP51,24566,1,[245]
1 2 3 4 5 6 3K 4K FH LS C UP51,16666,0,Y
1 2 3 4 5 6 3K 4K FH LS C Y UP51,11123,2,[123]
1 2 3 4 5 6 3K 4K FH LS C Y UP51,12334,1,[1234]
1 2 3 4 5 6 3K 4K FH LS C Y UP51,12334,0,SS
UP0,11344,2,[44]
UP0,23445,1,[2345]
UP0,22345,0,SS
SS UP0,35556,2,[555]
SS UP0,44555,1,[555]
SS UP0,35555,0,5
4K SS UP0,12234,2,[22]
4K SS UP0,22334,1,[2233]
4K SS UP0,12233,0,2
1 4K SS UP1,22344,2,[44]
1 4K SS UP1,12344,1,[44]
1 4K SS UP1,24456,0,C
1 2 4K SS UP3,12555,2,[555]
1 2 4K SS UP3,55556,1,[5555]
1 2 4K SS UP3,25555,0,5
1 2 5 4K SS UP23,34445,2,[444]
1 2 5 4K SS UP23,24445,1,[444]
1 2 5 4K SS UP23,34444,0,4
1 2 4 5 4K SS UP39,11234,2,[3]
1 2 4 5 4K SS UP39,11124,1,[111]
1 2 4 5 4K SS UP39,11113,0,Y
1 2 3 4 5 4K SS UP42,14455,2,[4455]
1 2 3 4 5 4K SS UP42,24555,1,[555]
1 2 3 4 5 4K SS UP42,12555,0,3K
1 2 3 4 5 3K 4K SS UP42,34445,2,[444]
1 2 3 4 5 3K 4K SS UP42,12256,1,[56]
1 2 3 4 5 3K 4K SS UP42,33366,0,FH
1 2 3 4 5 3K 4K FH SS UP42,12246,2,[6]
1 2 3 4 5 3K 4K FH SS UP42,22466,1,[66]
1 2 3 4 5 3K 4K FH SS UP42,13566,0,C
1 2 3 4 5 3K 4K FH SS C UP42,12334,2,[1234]
1 2 3 4 5 3K 4K FH SS C UP42,12345,1,[12345]
1 2 3 4 5 3K 4K FH SS C UP42,12345,0,LS
1 2 3 4 5 3K 4K FH SS LS C UP42,11255,2,[]
1 2 3 4 5 3K 4K FH SS LS C UP42,24556,1,[6]
1 2 3 4 5 3K 4K FH SS LS C UP42,35566,0,Y
1 2 3 4 5 6 3K 4K FH SS LS C UP54,13445,2,[44]
1 2 3 4 5 6 3K 4K FH SS LS C UP54,22444,1,[444]
1 2 3 4 5 6 3K 4K FH SS LS C UP54,44445,0,Y
UP0,11256,2,[5]
UP0,14456,1,[44]
UP0,24456,0,C
1 UP0,11126,2,[111]
1 UP0,11135,1,[35]
1 UP0,11115,0,4K
1 4K UP0,11223,2,[22]
1 4K UP0,33556,1,[55]
1 4K UP0,11455,0,C
1 5 4K UP10,12236,2,[22]
1 5 4K UP10,12236,1,[22]
1 5 4K UP10,23456,0,LS
1 5 4K LS UP10,24566,2,[66]
1 5 4K LS UP10,14566,1,[66]
1 5 4K LS UP10,34456,0,SS
1 5 4K SS LS UP10,12466,2,[66]
1 5 4K SS LS UP10,25666,1,[666]
1 5 4K SS LS UP10,36666,0,6
1 5 3K 4K SS LS UP10,34445,2,[444]
1 5 3K 4K SS LS UP10,22335,1,[2233]
1 5 3K 4K SS LS UP10,12444,0,4
1 4 5 3K 4K SS LS UP22,12223,2,[222]
1 4 5 3K 4K SS LS UP22,22225,1,[2222]
1 4 5 3K 4K SS LS UP22,12222,0,2
1 2 4 5 3K 4K SS LS UP30,12445,2,[44]
1 2 4 5 3K 4K SS LS UP30,12455,1,[55]
1 2 4 5 3K 4K SS LS UP30,22556,0,C
1 2 4 5 3K 4K SS LS C UP30,12346,2,[6]
1 2 4 5 3K 4K SS LS C UP30,23566,1,[66]
1 2 4 5 3K 4K SS LS C UP30,15666,0,6
1 2 4 5 6 3K 4K SS LS C UP48,23455,2,[55]
1 2 4 5 6 3K 4K SS LS C UP48,12345,1,[3]
1 2 4 5 6 3K 4K SS LS C UP48,11123,0,Y
1 2 3 4 5 6 3K 4K SS LS C UP51,14566,2,[66]
1 2 3 4 5 6 3K 4K SS LS C UP51,33566,1,[3366]
1 2 3 4 5 6 3K 4K SS LS C UP51,33466,0,Y
1 2 3 4 5 6 3K 4K SS LS C Y UP51,11236,2,[11]
1 2 3 4 5 6 3K 4K SS LS C Y UP51,11114,1,[111]
1 2 3 4 5 6 3K 4K SS LS C Y UP51,11156,0,FH
UP0,22256,2,[222]
UP0,12222,1,[2222]
UP0,22222,0,Y
Y+ UP0,44666,2,[666]
Y+ UP0,23666,1,[666]
Y+ UP0,34666,0,3K
3K Y+ UP0,11245,2,[4]
3K Y+ UP0,11256,1,[11]
3K Y+ UP0,11234,0,SS
3K SS Y+ UP0,23446,2,[44]
3K SS Y+ UP0,22233,1,[22233]
3K SS Y+ UP0,22246,0,2
2 3K SS Y+ UP6,12334,2,[33]
2 3K SS Y+ UP6,33456,1,[33]
2 3K SS Y+ UP6,33345,0,3
2 3 3K SS Y+ UP15,23445,2,[2345]
2 3 3K SS Y+ UP15,33356,1,[333]
2 3 3K SS Y+ UP15,34446,0,4
2 3 4 3K SS Y+ UP27,11222,2,[11222]
2 3 4 3K SS Y+ UP27,12236,1,[6]
2 3 4 3K SS Y+ UP27,33366,0,FH
2 3 4 3K FH SS Y+ UP27,12344,2,[44]
2 3 4 3K FH SS Y+ UP27,12234,1,[1234]
2 3 4 3K FH SS Y+ UP27,12346,0,1
1 2 3 4 3K FH SS Y+ UP28,11235,2,[5]
1 2 3 4 3K FH SS Y+ UP28,11123,1,[111]
1 2 3 4 3K FH SS Y+ UP28,11133,0,4K
1 2 3 4 3K 4K FH SS Y+ UP28,11466,2,[66]
1 2 3 4 3K 4K FH SS Y+ UP28,12566,1,[66]
1 2 3 4 3K 4K FH SS Y+ UP28,23456,0,LS
1 2 3 4 3K 4K FH SS LS Y+ UP28,13346,2,[6]
1 2 3 4 3K 4K FH SS LS Y+ UP28,11236,1,[6]
1 2 3 4 3K 4K FH SS LS Y+ UP28,12255,0,5
1 2 3 4 5 3K 4K FH SS LS Y+ UP38,22344,2,[44]
1 2 3 4 5 3K 4K FH SS LS Y+ UP38,34566,1,[66]
1 2 3 4 5 3K 4K FH SS LS Y+ UP38,24566,0,C
1 2 3 4 5 3K 4K FH SS LS C Y+ UP38,13446,2,[6]
1 2 3 4 5 3K 4K FH SS LS C Y+ UP38,14566,1,[66]
1 2 3 4 5 3K 4K FH SS LS C Y+ UP38,24566,0,6
UP0,12256,2,[22]
UP0,13666,1,[666]
UP0,46666,0,6
4K UP0,11255,2,[55]
4K UP0,23445,1,[2345]
4K UP0,22244,0,FH
4K FH UP0,11255,2,[55]
4K FH UP0,23455,1,[2345]
4K FH UP0,14556,0,C
1 4K FH UP1,23344,2,[44]
1 4K FH UP1,33356,1,[333]
1 4K FH UP1,22356,0,2
1 2 4K FH UP5,12456,2,[45]
1 2 4K FH UP5,12445,1,[44]
1 2 4K FH UP5,23445,0,SS
1 2 4K FH SS UP5,23333,2,[3333]
1 2 4K FH SS UP5,23333,1,[3333]
1 2 4K FH SS UP5,23345,0,3
1 2 3 4K FH SS UP11,11456,2,[45]
1 2 3 4K FH SS UP11,11234,1,[1234]
1 2 3 4K FH SS UP11,11126,0,Y
1 2 3 3K 4K FH SS UP11,11134,2,[4]
1 2 3 3K 4K FH SS UP11,22245,1,[245]
1 2 3 3K 4K FH SS UP11,44456,0,4
1 2 3 4 3K 4K FH SS UP23,13566,2,[66]
1 2 3 4 3K 4K FH SS UP23,33666,1,[666]
1 2 3 4 3K 4K FH SS UP23,14666,0,6
1 2 3 4 6 3K 4K FH SS UP41,13346,2,[34]
1 2 3 4 6 3K 4K FH SS UP41,15666,1,[5666]
1 2 3 4 6 3K 4K FH SS UP41,15666,0,C
1 2 3 4 6 3K 4K FH SS C UP41,13445,2,[1345]
1 2 3 4 6 3K 4K FH SS C UP41,45666,1,[5]
1 2 3 4 6 3K 4K FH SS C UP41,13556,0,5
1 2 3 4 5 6 3K 4K FH SS C UP51,12346,2,[1234]
1 2 3 4 5 6 3K 4K FH SS C UP51,44566,1,[456]
1 2 3 4 5 6 3K 4K FH SS C UP51,12666,0,Y
1 2 3 4 5 6 3K 4K FH SS C Y UP51,15566,2,[5]
1 2 3 4 5 6 3K 4K FH SS C Y UP51,23566,1,[2356]
1 2 3 4 5 6 3K 4K FH SS C Y UP51,23456,0,LS
UP0,22246,2,[222]
UP0,34456,1,[3456]
UP0,11266,0,1
1 UP2,34455,2,[55]
1 UP2,13556,1,[55]
1 UP2,13556,0,C
1 5 UP12,44456,2,[444]
1 5 UP12,44446,1,[4444]
1 5 UP12,44446,0,4
1 5 4K UP12,23445,2,[2345]
1 5 4K UP12,15556,1,[5556]
1 5 4K UP12,55566,0,FH
1 5 4K FH UP12,11224,2,[22]
1 5 4K FH UP12,33556,1,[556]
1 5 4K FH UP12,13556,0,C
1 5 4K FH C UP12,44456,2,[444]
1 5 4K FH C UP12,14566,1,[66]
1 5 4K FH C UP12,44566,0,4
1 4 5 4K FH C UP20,12356,2,[235]
1 4 5 4K FH C UP20,23455,1,[2345]
1 4 5 4K FH C UP20,22266,0,2
1 2 4 5 4K FH C UP26,22556,2,[55]
1 2 4 5 4K FH C UP26,22566,1,[66]
1 2 4 5 4K FH C UP26,35666,0,3K
1 2 4 5 3K 4K FH C UP26,14556,2,[456]
1 2 4 5 3K 4K FH C UP26,34556,1,[3456]
1 2 4 5 3K 4K FH C UP26,13456,0,SS
1 2 4 5 3K 4K FH SS C UP26,44445,2,[4444]
1 2 4 5 3K 4K FH SS C UP26,44445,1,[4444]
1 2 4 5 3K 4K FH SS C UP26,24444,0,Y
1 2 3 4 5 3K 4K FH SS C UP26,12466,2,[66]
1 2 3 4 5 3K 4K FH SS C UP26,12346,1,[2346]
1 2 3 4 5 3K 4K FH SS C UP26,23446,0,Y
1 2 3 4 5 3K 4K FH SS C Y UP26,23556,2,[2356]
1 2 3 4 5 3K 4K FH SS C Y UP26,23666,1,[666]
1 2 3 4 5 3K 4K FH SS C Y UP26,14666,0,6
1 2 3 4 5 6 3K 4K FH SS C Y UP44,33566,2,[35]
1 2 3 4 5 6 3K 4K FH SS C Y UP44,13456,1,[1345]
1 2 3 4 5 6 3K 4K FH SS C Y UP44,23456,0,LS
UP0,12455,2,[55]
UP0,14556,1,[55]
UP0,25555,0,5
4K UP0,12455,2,[55]
4K UP0,22556,1,[55]
4K UP0,22455,0,2
2 4K UP4,14666,2,[666]
2 4K UP4,23455,1,[2345]
2 4K UP4,11345,0,1
1 2 4K UP6,11225,2,[5]
1 2 4K UP6,11236,1,[3]
1 2 4K UP6,12355,0,5
1 2 5 4K UP16,13355,2,[33]
1 2 5 4K UP16,15555,1,[5555]
1 2 5 4K UP16,33445,0,3
1 2 3 5 4K UP22,24455,2,[44]
1 2 3 5 4K UP22,22355,1,[55]
1 2 3 5 4K UP22,34555,0,3K
1 2 3 5 3K 4K UP22,13455,2,[345]
1 2 3 5 3K 4K UP22,25556,1,[5556]
1 2 3 5 3K 4K UP22,15556,0,C
1 2 3 5 3K 4K C UP22,33566,2,[66]
1 2 3 5 3K 4K C UP22,35566,1,[5566]
1 2 3 5 3K 4K C UP22,34456,0,SS
1 2 3 5 3K 4K SS C UP22,11123,2,[111]
